date,total.active,total.confirmed,total.recovered,total.deceased,total.tested,total.vaccinated,delta.active,delta.confirmed,delta.recovered,delta.deceased,delta.tested,delta.vaccinated,delta7.active,delta7.confirmed,delta7.recovered,delta7.deceased,delta7.tested,delta7.vaccinated
2020-01-30,1.0,1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
2020-02-02,2.0,2,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2020-02-03,3.0,3,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
2020-02-14,0.0,3,3.0,0.0,0.0,0.0,-3.0,0.0,3.0,0.0,0.0,0.0,-3.0,0.0,3.0,0.0,0.0,0.0
2020-03-02,2.0,5,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
2020-03-03,3.0,6,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0
2020-03-04,25.0,28,3.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0
2020-03-05,27.0,30,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,0.0
2020-03-06,28.0,31,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,0.0,0.0,0.0
2020-03-07,31.0,34,3.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,31.0,31.0,0.0,0.0,0.0,0.0
2020-03-08,36.0,39,3.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,36.0,36.0,0.0,0.0,0.0,0.0
2020-03-09,45.0,48,3.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0
2020-03-10,60.0,63,3.0,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,0.0,57.0,57.0,0.0,0.0,0.0,0.0
2020-03-11,68.0,71,3.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,43.0,43.0,0.0,0.0,0.0,0.0
2020-03-12,78.0,81,3.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0
2020-03-13,87.0,91,3.0,1.0,6500.0,0.0,9.0,10.0,0.0,1.0,6500.0,0.0,59.0,60.0,0.0,1.0,6500.0,0.0
2020-03-14,98.0,102,3.0,1.0,6500.0,0.0,11.0,11.0,0.0,0.0,0.0,0.0,67.0,68.0,0.0,1.0,6500.0,0.0
2020-03-15,108.0,112,3.0,1.0,6500.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,72.0,73.0,0.0,1.0,6500.0,0.0
2020-03-16,122.0,126,3.0,1.0,6500.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,77.0,78.0,0.0,1.0,6500.0,0.0
2020-03-17,142.0,146,3.0,1.0,6500.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,82.0,83.0,0.0,1.0,6500.0,0.0
2020-03-18,167.0,171,3.0,1.0,13125.0,0.0,25.0,25.0,0.0,0.0,6625.0,0.0,99.0,100.0,0.0,1.0,13125.0,0.0
2020-03-19,194.0,198,3.0,1.0,14175.0,0.0,27.0,27.0,0.0,0.0,1050.0,0.0,116.0,117.0,0.0,1.0,14175.0,0.0
2020-03-20,251.0,256,4.0,1.0,15404.0,0.0,57.0,58.0,1.0,0.0,1229.0,0.0,164.0,165.0,1.0,0.0,8904.0,0.0
2020-03-21,329.0,334,4.0,1.0,16911.0,0.0,78.0,78.0,0.0,0.0,1507.0,0.0,231.0,232.0,1.0,0.0,10411.0,0.0
2020-03-22,398.0,403,4.0,1.0,18127.0,0.0,69.0,69.0,0.0,0.0,1216.0,0.0,290.0,291.0,1.0,0.0,11627.0,0.0
2020-03-23,492.0,497,4.0,1.0,20707.0,0.0,94.0,94.0,0.0,0.0,2580.0,0.0,370.0,371.0,1.0,0.0,14207.0,0.0
2020-03-24,564.0,571,6.0,1.0,22694.0,0.0,72.0,74.0,2.0,0.0,1987.0,0.0,422.0,425.0,3.0,0.0,16194.0,0.0
2020-03-25,650.0,657,6.0,1.0,25144.0,0.0,86.0,86.0,0.0,0.0,2450.0,0.0,483.0,486.0,3.0,0.0,12019.0,0.0
2020-03-26,722.0,730,6.0,2.0,27688.0,0.0,72.0,73.0,0.0,1.0,2544.0,0.0,528.0,532.0,3.0,1.0,13513.0,0.0
2020-03-27,872.0,883,8.0,3.0,27688.0,0.0,150.0,153.0,2.0,1.0,0.0,0.0,621.0,627.0,4.0,2.0,12284.0,0.0
2020-03-28,1008.0,1019,8.0,3.0,27688.0,0.0,136.0,136.0,0.0,0.0,0.0,0.0,679.0,685.0,4.0,2.0,10777.0,0.0
2020-03-29,1012.0,1139,99.0,28.0,27688.0,0.0,4.0,120.0,91.0,25.0,0.0,0.0,614.0,736.0,95.0,27.0,9561.0,0.0
2020-03-30,1144.0,1326,141.0,41.0,38442.0,0.0,132.0,187.0,42.0,13.0,10754.0,0.0,652.0,829.0,137.0,40.0,17735.0,0.0
2020-03-31,1428.0,1635,160.0,47.0,42788.0,0.0,284.0,309.0,19.0,6.0,4346.0,0.0,864.0,1064.0,154.0,46.0,20094.0,0.0
2020-04-01,1832.0,2059,169.0,58.0,47951.0,0.0,404.0,424.0,9.0,11.0,5163.0,0.0,1182.0,1402.0,163.0,57.0,22807.0,0.0
2020-04-02,2285.0,2545,191.0,69.0,55851.0,0.0,453.0,486.0,22.0,11.0,7900.0,0.0,1563.0,1815.0,185.0,67.0,28163.0,0.0
2020-04-03,2792.0,3105,230.0,83.0,69245.0,0.0,507.0,560.0,39.0,14.0,13394.0,0.0,1920.0,2222.0,222.0,80.0,41557.0,0.0
2020-04-04,3302.0,3684,286.0,96.0,79950.0,0.0,510.0,579.0,56.0,13.0,10705.0,0.0,2294.0,2665.0,278.0,93.0,52262.0,0.0
2020-04-05,3846.0,4293,329.0,118.0,89534.0,0.0,544.0,609.0,43.0,22.0,9584.0,0.0,2834.0,3154.0,230.0,90.0,61846.0,0.0
2020-04-06,4249.0,4777,394.0,134.0,101068.0,0.0,403.0,484.0,65.0,16.0,11534.0,0.0,3105.0,3451.0,253.0,93.0,62626.0,0.0
2020-04-07,4720.0,5350,469.0,161.0,114015.0,0.0,471.0,573.0,75.0,27.0,12947.0,0.0,3292.0,3715.0,309.0,114.0,71227.0,0.0
2020-04-08,5169.0,5915,565.0,181.0,127919.0,0.0,449.0,565.0,96.0,20.0,13904.0,0.0,3337.0,3856.0,396.0,123.0,79968.0,0.0
2020-04-09,5866.0,6728,635.0,227.0,144910.0,0.0,697.0,813.0,70.0,46.0,16991.0,0.0,3581.0,4183.0,444.0,158.0,89059.0,0.0
2020-04-10,6564.0,7599,786.0,249.0,161330.0,0.0,698.0,871.0,151.0,22.0,16420.0,0.0,3772.0,4494.0,556.0,166.0,92085.0,0.0
2020-04-11,7191.0,8453,972.0,290.0,179374.0,0.0,627.0,854.0,186.0,41.0,18044.0,0.0,3889.0,4769.0,686.0,194.0,99424.0,0.0
2020-04-12,7793.0,9211,1086.0,332.0,195748.0,0.0,602.0,758.0,114.0,42.0,16374.0,0.0,3947.0,4918.0,757.0,214.0,106214.0,0.0
2020-04-13,8897.0,10454,1198.0,359.0,217554.0,0.0,1104.0,1243.0,112.0,27.0,21806.0,0.0,4648.0,5677.0,804.0,225.0,116486.0,0.0
2020-04-14,9724.0,11485,1365.0,396.0,244893.0,0.0,827.0,1031.0,167.0,37.0,27339.0,0.0,5004.0,6135.0,896.0,235.0,130878.0,0.0
2020-04-15,10439.0,12371,1509.0,423.0,274599.0,0.0,715.0,886.0,144.0,27.0,29706.0,0.0,5270.0,6456.0,944.0,242.0,146680.0,0.0
2020-04-16,11216.0,13432,1767.0,449.0,302956.0,0.0,777.0,1061.0,258.0,26.0,28357.0,0.0,5350.0,6704.0,1132.0,222.0,158046.0,0.0
2020-04-17,11827.0,14354,2040.0,487.0,335123.0,0.0,611.0,922.0,273.0,38.0,32167.0,0.0,5263.0,6755.0,1254.0,238.0,173793.0,0.0
2020-04-18,12737.0,15725,2466.0,522.0,372123.0,0.0,910.0,1371.0,426.0,35.0,37000.0,0.0,5546.0,7272.0,1494.0,232.0,192749.0,0.0
2020-04-19,13891.0,17305,2854.0,560.0,401586.0,0.0,1154.0,1580.0,388.0,38.0,29463.0,0.0,6098.0,8094.0,1768.0,228.0,205838.0,0.0
2020-04-20,14678.0,18544,3273.0,593.0,401586.0,0.0,787.0,1239.0,419.0,33.0,0.0,0.0,5781.0,8090.0,2075.0,234.0,184032.0,0.0
2020-04-21,15459.0,20081,3976.0,646.0,462621.0,0.0,781.0,1537.0,703.0,53.0,61035.0,0.0,5735.0,8596.0,2611.0,250.0,217728.0,0.0
2020-04-22,16321.0,21373,4370.0,682.0,500542.0,0.0,862.0,1292.0,394.0,36.0,37921.0,0.0,5882.0,9002.0,2861.0,259.0,225943.0,0.0
2020-04-23,17306.0,23040,5012.0,722.0,541789.0,0.0,985.0,1667.0,642.0,40.0,41247.0,0.0,6090.0,9608.0,3245.0,273.0,238833.0,0.0
2020-04-24,18171.0,24448,5496.0,781.0,579957.0,0.0,865.0,1408.0,484.0,59.0,38168.0,0.0,6344.0,10094.0,3456.0,294.0,244834.0,0.0
2020-04-25,19520.0,26283,5938.0,825.0,625309.0,0.0,1349.0,1835.0,442.0,44.0,45352.0,0.0,6783.0,10558.0,3472.0,303.0,253186.0,0.0
2020-04-26,20486.0,27890,6523.0,881.0,665819.0,0.0,966.0,1607.0,585.0,56.0,40510.0,0.0,6595.0,10585.0,3669.0,321.0,264233.0,0.0
2020-04-27,21416.0,29458,7103.0,939.0,716733.0,0.0,930.0,1568.0,580.0,58.0,50914.0,0.0,6738.0,10914.0,3830.0,346.0,315147.0,0.0
2020-04-28,22613.0,31360,7739.0,1008.0,770764.0,0.0,1197.0,1902.0,636.0,69.0,54031.0,0.0,7154.0,11279.0,3763.0,362.0,308143.0,0.0
2020-04-29,23557.0,33065,8429.0,1079.0,830201.0,0.0,944.0,1705.0,690.0,71.0,59437.0,0.0,7236.0,11692.0,4059.0,397.0,329659.0,0.0
2020-04-30,24654.0,34867,9059.0,1154.0,902654.0,0.0,1097.0,1802.0,630.0,75.0,72453.0,0.0,7348.0,11827.0,4047.0,432.0,360865.0,0.0
2020-05-01,26011.0,37263,10021.0,1231.0,976363.0,0.0,1357.0,2396.0,962.0,77.0,73709.0,0.0,7840.0,12815.0,4525.0,450.0,396406.0,0.0
2020-05-02,27652.0,39827,10852.0,1323.0,1046450.0,0.0,1641.0,2564.0,831.0,92.0,70087.0,0.0,8132.0,13544.0,4914.0,498.0,421141.0,0.0
2020-05-03,29553.0,42779,11763.0,1463.0,1107233.0,0.0,1901.0,2952.0,911.0,140.0,60783.0,0.0,9067.0,14889.0,5240.0,582.0,441414.0,0.0
2020-05-04,32024.0,46435,12845.0,1566.0,1191946.0,0.0,2471.0,3656.0,1082.0,103.0,84713.0,0.0,10608.0,16977.0,5742.0,627.0,475213.0,0.0
2020-05-05,33572.0,49406,14140.0,1694.0,1276781.0,0.0,1548.0,2971.0,1295.0,128.0,84835.0,0.0,10959.0,18046.0,6401.0,686.0,506017.0,0.0
2020-05-06,35922.0,53008,15301.0,1785.0,1357413.0,0.0,2350.0,3602.0,1161.0,91.0,80632.0,0.0,12365.0,19943.0,6872.0,706.0,527212.0,0.0
2020-05-07,37687.0,56352,16776.0,1889.0,1437788.0,0.0,1765.0,3344.0,1475.0,104.0,80375.0,0.0,13033.0,21485.0,7717.0,735.0,535134.0,0.0
2020-05-08,39818.0,59691,17887.0,1986.0,1523213.0,0.0,2131.0,3339.0,1111.0,97.0,85425.0,0.0,13807.0,22428.0,7866.0,755.0,546850.0,0.0
2020-05-09,41463.0,62866,19301.0,2102.0,1609037.0,0.0,1645.0,3175.0,1414.0,116.0,85824.0,0.0,13811.0,23039.0,8449.0,779.0,562587.0,0.0
2020-05-10,43993.0,67177,20970.0,2214.0,1673688.0,0.0,2530.0,4311.0,1669.0,112.0,64651.0,0.0,14440.0,24398.0,9207.0,751.0,566455.0,0.0
